Information listing created by	marti
Date	07-Dec-2023 23:39:24
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\Projeto MComp\projetoMComp_fem1.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  154                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 392 57 58 293 295 294
  155                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 451 59 450 296 297 467
  156                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 7 59 451 298 296 85
  157                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 507 7 480 299 92 490
  158                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 59 507 4 300 127 301
  159                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 59 7 507 298 299 300
  160                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 67 447 62 302 303 304
  161                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 446 67 57 305 306 288
  162                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 446 447 67 468 302 305
  163                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 62 65 67 307 308 304
  164                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 62 63 65 309 310 307
  165                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 66 67 65 311 308 312
  166                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 57 66 58 313 314 295
  167                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 57 67 66 306 311 313
  168                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 55 69 56 315 316 286
  169                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 70 55 1 317 281 318
  170                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 69 70 68 319 320 321
  171                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 69 55 70 315 317 319
  172                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 68 66 65 322 312 323
  173                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 68 70 66 320 324 322
  174                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 58 70 1 325 318 291
  175                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 58 66 70 314 324 325
  176                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 71 56 69 326 316 327
  177                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 429 71 428 328 329 443
  178                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 429 56 71 278 326 328
  179                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 69 72 71 330 331 327
  180                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 69 68 72 321 332 330
  181                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 48 74 73 333 334 335
  182                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 74 427 428 336 444 337
  183                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 74 48 427 333 253 336
  184                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 71 74 428 338 337 329
  185                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 73 71 72 339 331 340
  186                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 73 74 71 334 338 339
  187                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 75 65 63 341 310 342
  188                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 68 75 72 343 344 332
  189                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 68 65 75 323 341 343
  190                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 64 75 63 345 342 346
  191                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 72 77 73 347 348 340
  192                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 75 77 72 349 347 344
  193                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 76 75 64 350 345 351
  194                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 76 77 75 352 349 350
  195                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 73 49 48 353 266 335
  196                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 73 77 49 348 354 353
  197                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 3 76 64 355 351 356
  198                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 3 50 76 275 357 355
  199                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 77 50 49 358 261 354
