Information listing created by	marti
Date	11-Dec-2023 21:00:54
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\SOFCOM_G32\Simulation T6\T6 - MALHA BASE\projetoMComp_fem1.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  140                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 69 71 489 298 302 300
  141                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 488 68 487 303 304 507
  142                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 71 488 489 305 508 302
  143                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 71 68 488 293 303 305
  144                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 490 17 69 306 307 301
  145                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 490 491 17 509 308 306
  146                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 69 72 70 309 310 299
  147                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 18 69 17 311 307 312
  148                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 18 72 69 313 309 311
  149                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 73 70 72 314 310 315
  150                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 66 74 65 316 317 318
  151                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 73 66 70 319 295 314
  152                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 73 74 66 320 316 319
  153                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 64 62 63 321 322 323
  154                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 75 65 74 324 317 325
  155                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 75 64 65 326 327 324
  156                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 64 76 62 328 329 321
  157                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 64 75 76 326 330 328
  158                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 546 76 545 331 332 552
  159                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 546 62 76 333 329 331
  160                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 19 72 18 334 313 335
  161                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 77 75 74 336 325 337
  162                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 75 545 76 338 332 330
  163                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 545 77 544 339 340 553
  164                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 545 75 77 338 336 339
  165                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 73 77 74 341 337 320
  166                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 19 73 72 342 315 334
  167                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 77 19 544 343 344 340
  168                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 77 73 19 341 342 343
  169                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 79 64 80 345 346 347
  170                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 79 65 64 348 327 345
  171                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 80 63 522 349 350 351
  172                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 80 64 63 346 323 349
  173                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 78 523 524 352 534 353
  174                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 523 80 522 354 351 535
  175                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 80 78 79 355 356 347
  176                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 80 523 78 354 352 355
  177                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 84 68 83 357 358 359
  178                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 487 84 486 360 361 510
  179                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 487 68 84 304 357 360
  180                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 81 65 79 362 348 363
  181                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 67 83 68 364 358 292
  182                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 67 82 83 365 366 364
  183                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 66 82 67 367 365 296
  184                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 81 66 65 368 318 362
  185                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 81 82 66 369 367 368
  186                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 85 524 525 370 536 371
  187                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 79 86 81 372 373 363
  188                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 79 78 86 356 374 372
  189                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 85 78 524 375 353 370
  190                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 85 86 78 376 374 375
  191                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 85 87 86 377 378 376
  192                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 525 88 85 379 380 371
  193                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 88 574 559 381 564 382
  194                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 88 525 574 379 537 381
  195                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 88 87 85 383 377 380
  196                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 560 88 559 384 382 565
  197                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 560 87 88 385 383 384
  198                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 81 89 82 386 387 369
  199                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 89 86 87 388 378 389
  200                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 89 81 86 386 373 388
  201                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 87 90 89 390 391 389
  202                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 90 560 561 392 566 393
  203                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 90 87 560 390 385 392
  204                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 91 89 90 394 391 395
  205                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 82 91 83 396 397 366
  206                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 82 89 91 387 394 396
  207                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 90 562 91 398 399 395
  208                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 90 561 562 393 567 398
  209                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 83 92 84 400 401 359
