Information listing created by	marti
Date	07-Dec-2023 23:26:24
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\Projeto MComp\projetoMComp_fem2.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  122                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 103 8 102
  123                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 48 104 105
  124                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 103 52 8
  125                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 51 104 48
  126                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 104 52 103
  127                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 104 51 52
  128                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 53 49 50
  129                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 51 54 52
  130                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 49 51 48
  131                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 51 53 54
  132                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 51 49 53
  133                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 52 90 8
  134                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 90 54 89
  135                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 90 52 54
  136                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 89 53 88
  137                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 89 54 53
  138                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 87 50 3
  139                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 50 88 53
  140                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 50 87 88
